
> daguanyuan-rumeng@1.0.0 models:views
> node scripts/pipeline.mjs model-views

Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1595.85M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tile.001
Fra:1 Mem:1595.04M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_cutstone
Fra:1 Mem:1595.46M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_darkwood.001
Fra:1 Mem:1597.79M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_floorwood
Fra:1 Mem:1600.36M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_wood.001
Fra:1 Mem:1603.63M (Peak 1647.43M) | Time:00:02.95 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_latticewood.001
Fra:1 Mem:1603.47M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tilelight.001
Fra:1 Mem:1604.07M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_tiledark.001
Fra:1 Mem:1606.70M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_paving.001
Fra:1 Mem:1607.06M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_gardenstone
Fra:1 Mem:1608.57M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_limestone.001
Fra:1 Mem:1609.29M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_courtbase
Fra:1 Mem:1609.29M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bamboo.001
Fra:1 Mem:1609.91M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_lightleaf.001
Fra:1 Mem:1611.83M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_leafdark.001
Fra:1 Mem:1610.54M (Peak 1647.43M) | Time:00:02.96 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_leaf.001
Fra:1 Mem:1612.10M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_furniture
Fra:1 Mem:1613.66M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_paper.001
Fra:1 Mem:1613.72M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bookcloth.001
Fra:1 Mem:1613.74M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ivory.001
Fra:1 Mem:1613.71M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ink.001
Fra:1 Mem:1613.74M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bookcover.001
Fra:1 Mem:1613.75M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_ceramic.001
Fra:1 Mem:1613.78M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_gold
Fra:1 Mem:1613.81M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_clay.001
Fra:1 Mem:1613.82M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_creamflower.001
Fra:1 Mem:1613.88M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_screen.001
Fra:1 Mem:1613.88M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_bark.001
Fra:1 Mem:1614.80M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_moss.001
Fra:1 Mem:1615.82M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hengwuyuan_lantern
Fra:1 Mem:1615.80M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_plaster.001
Fra:1 Mem:1615.83M (Peak 1647.43M) | Time:00:02.97 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_roof.001
