Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1672.36M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_leaf
Fra:1 Mem:1677.96M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_leafdark
Fra:1 Mem:1680.35M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_litter
Fra:1 Mem:1691.71M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_wall
Fra:1 Mem:1691.56M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_paper
Fra:1 Mem:1691.56M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_lacquer
Fra:1 Mem:1691.83M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_ceiling
Fra:1 Mem:1692.53M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_jade
Fra:1 Mem:1692.54M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_xiaoxiangguan_enclosure_gold
Fra:1 Mem:1692.54M (Peak 1897.21M) | Time:00:01.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_plaster.001
