Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1055.20M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_floorwood
Fra:1 Mem:1055.71M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_wood.001
Fra:1 Mem:1060.15M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_tilelight.001
Fra:1 Mem:1060.23M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_tiledark.001
Fra:1 Mem:1067.55M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_paving.001
Fra:1 Mem:1068.75M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_bark
Fra:1 Mem:1069.47M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_flower.001
Fra:1 Mem:1070.88M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_bamboo.001
Fra:1 Mem:1071.35M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_leaf.001
Fra:1 Mem:1073.81M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_lightleaf.001
Fra:1 Mem:1077.25M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_limestone.001
Fra:1 Mem:1077.73M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_moss.001
Fra:1 Mem:1085.85M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_paper.001
Fra:1 Mem:1085.90M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_bookcloth.001
Fra:1 Mem:1085.90M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_ivory.001
Fra:1 Mem:1085.92M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_ink.001
Fra:1 Mem:1085.92M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_bookcover.001
Fra:1 Mem:1085.95M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_ceramic.001
Fra:1 Mem:1085.95M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_leafdark
Fra:1 Mem:1086.49M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_gold
Fra:1 Mem:1086.93M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_screen.001
